evaluations raw_y
1 24.0289672163
2 10.4653355689
9 5.6890330590
29 5.5237456545
164 4.0550310262
342 3.9477727415
346 3.0385981330
3473 2.1138155017
5000 17.9357877702
evaluations raw_y
1 20.8008490065
2 19.6084497404
3 13.0043443778
4 7.0943112740
11 6.1535253417
35 2.9345174929
333 1.8915705546
5000 13.2796798753
evaluations raw_y
1 20.7468180439
2 9.2822823128
14 5.2946241587
33 5.1108574284
60 4.5295295102
74 3.7896220639
278 3.4714544245
742 3.2824652962
1181 2.6971088801
2287 0.9904137675
5000 13.2580675310
evaluations raw_y
1 19.5699700234
2 4.4796553437
74 3.7790423141
146 3.6761403965
415 2.0487461728
5000 34.3977479126
evaluations raw_y
1 12.2921073694
3 5.0598277793
142 3.2280515491
503 2.9028652423
709 2.1677865147
1087 2.1030193697
2973 1.9121457209
5000 14.4631735851
evaluations raw_y
1 15.9320351817
3 10.3269495832
9 9.5997551462
10 5.1939798574
38 4.3540890653
71 1.6503665183
5000 15.4313869148
evaluations raw_y
1 19.5060655441
2 6.7760242718
9 5.3661411818
12 3.8203836849
213 1.7120665055
5000 21.8252568731
evaluations raw_y
1 13.2726873373
2 5.1969272743
139 3.7101000718
478 3.0750020041
497 3.0011035133
580 2.8309620248
617 2.4311574031
1202 1.4369812553
5000 10.9762606447
evaluations raw_y
1 24.6223890873
2 11.5775256011
5 2.3051772137
1211 1.9809405691
5000 13.2136201602
evaluations raw_y
1 11.6165057110
2 6.4784202122
8 5.0586235290
25 4.5377586543
130 3.8982563398
319 3.3051793074
559 3.0402646035
1894 2.2210667922
2494 1.5932434095
5000 19.4263058312
evaluations raw_y
1 10.4950761663
2 10.0855188274
6 7.2016260421
31 6.7197334889
94 5.1190346699
183 3.4598494420
1394 3.2293964047
1563 2.9029434185
1717 1.7540584324
5000 10.3600386570
evaluations raw_y
1 8.1553029527
4 7.4565330290
13 4.3611657888
77 3.6612230243
221 3.5593525474
314 3.5082758603
404 3.4836566803
548 3.2041797337
653 2.5550594092
1220 1.9216942175
5000 16.4135129882
evaluations raw_y
1 9.8710250669
4 6.2896998364
20 5.4890974496
221 5.1743240707
276 4.6440578225
534 3.7755882129
552 3.4656084314
1274 3.2625244944
1562 3.0332274229
1951 2.9901829826
4038 1.8770299863
5000 16.2529044329
evaluations raw_y
1 13.3905937452
3 5.4927587160
21 4.4948347405
56 3.5975419688
66 3.4263972857
196 3.3724963049
431 2.4660151723
1221 1.4345067968
5000 25.2392729557
evaluations raw_y
1 25.3015798513
2 13.5082302570
3 7.9877555448
5 4.4708129625
17 3.0994978867
255 2.7408144092
1822 1.9077736183
5000 17.1223569957
evaluations raw_y
1 17.8106482594
3 12.5606966589
5 6.5476590240
7 3.3806767770
662 2.8434814021
770 1.5149278137
5000 20.9342947582
evaluations raw_y
1 24.4866417653
2 16.3216377455
4 13.8776616935
5 6.1395375543
31 5.6250632352
56 3.5905320158
576 2.0712218380
1743 1.9623930484
5000 11.2255469315
evaluations raw_y
1 6.8350739062
32 3.7143952854
100 3.7096568089
233 2.9668999541
2509 2.5034387856
4208 2.3961757085
5000 12.0474358237
evaluations raw_y
1 5.2996958579
4 5.1985772593
291 4.6540870032
299 2.6111979277
367 2.4207195444
1523 1.5557889756
5000 29.4579084230
evaluations raw_y
1 20.7142087166
2 15.2944211615
4 12.7303691030
8 11.4615598817
9 7.3382144367
25 6.7721542033
36 6.5527541278
48 5.5419622638
101 4.1974439152
150 3.9297923663
333 2.5581920387
432 2.5443770736
554 2.3290109283
1075 2.1170903255
3847 1.4302812457
3910 1.3204209527
3975 0.7522810682
4170 0.7451224675
4230 0.5286686495
4298 0.4449047621
4313 0.4029238975
4361 0.3106641350
4435 0.2279938957
4443 0.2109468715
4573 0.1904548191
4732 0.1745599847
4737 0.1625141047
4836 0.1567443216
4845 0.1548638453
4904 0.1368474624
4951 0.1099080411
5000 0.1700845378
