evaluations raw_y
1 0.8626639061
2 0.9130752374
3 0.9520182788
4 0.9881422925
5 1.4585764294
6 1.5923566879
13 1.7146776406
24 1.8355359765
73 2.0000000000
79 2.0525451560
109 2.2281639929
168 2.3277467412
169 2.5987525988
202 2.6881720430
269 2.8344671202
979 3.2467532468
1718 3.3156498674
2038 3.9936102236
2093 5.1867219917
5000 3.3875338753
evaluations raw_y
1 0.7654623393
2 1.2899896801
4 1.3812154696
17 2.1079258010
79 2.2281639929
139 2.2603978300
142 2.4752475248
149 2.7352297593
202 3.0562347188
333 3.7091988131
5000 1.8573551263
evaluations raw_y
1 1.4060742407
8 1.9025875190
49 2.0525451560
50 2.0798668885
113 2.1079258010
137 2.4366471735
172 2.6427061311
186 2.8868360277
286 3.1806615776
334 3.3156498674
860 3.6231884058
5000 2.6427061311
evaluations raw_y
1 1.2007684918
2 1.2690355330
3 1.6087516088
20 1.6425755585
42 2.0525451560
109 2.1367521368
112 2.3629489603
144 2.3992322457
170 2.5562372188
230 2.7352297593
233 2.8868360277
5000 2.6427061311
evaluations raw_y
1 1.3455328310
5 1.5923566879
27 1.6600265604
51 1.7531556802
65 2.0259319287
84 2.2935779817
102 2.4366471735
114 2.5150905433
202 2.7839643653
290 2.9411764706
327 2.9976019185
328 3.4626038781
389 4.2087542088
441 4.3252595156
5000 2.3992322457
evaluations raw_y
1 0.7966857871
2 1.4188422247
7 1.7531556802
27 1.7934002869
49 2.1079258010
65 2.2935779817
122 2.4366471735
160 2.5987525988
179 2.7839643653
180 2.8344671202
209 2.8868360277
276 3.1172069825
536 3.2467532468
731 3.3156498674
907 3.4626038781
5000 2.0798668885
evaluations raw_y
1 0.9944311854
2 1.1737089202
4 1.2899896801
5 1.6960651289
22 2.0000000000
58 2.1663778163
86 2.4752475248
112 2.5987525988
113 2.8868360277
173 3.0562347188
252 3.3156498674
351 3.7993920973
469 4.0983606557
556 4.2087542088
802 4.3252595156
813 4.8638132296
5000 3.0562347188
evaluations raw_y
1 1.3691128149
6 1.8355359765
23 2.0525451560
37 2.4366471735
81 2.5562372188
171 2.6881720430
210 2.8868360277
345 2.9411764706
383 2.9976019185
399 3.5410764873
3320 3.7091988131
5000 2.4366471735
evaluations raw_y
1 1.2588116818
5 1.6254876463
17 1.6425755585
27 1.9260400616
84 1.9500780031
114 2.0525451560
142 2.4366471735
197 2.7352297593
259 3.2467532468
3334 3.3875338753
5000 1.8796992481
evaluations raw_y
1 1.1312217195
2 1.1394712853
3 1.4863258026
19 1.8355359765
29 1.9025875190
50 1.9747235387
52 2.2281639929
83 2.2603978300
131 2.7839643653
3277 2.8344671202
3319 3.1806615776
3388 3.2467532468
5000 3.1172069825
evaluations raw_y
1 0.9462528388
2 1.1825922422
4 1.2690355330
6 1.3227513228
8 1.5451174289
18 2.3277467412
51 2.5987525988
202 2.6427061311
225 2.7839643653
231 3.1172069825
260 3.2467532468
322 3.4626038781
383 3.6231884058
421 4.4483985765
588 4.8638132296
5000 3.7091988131
evaluations raw_y
1 0.7365939894
2 1.0477787091
5 1.1478420569
6 1.2291052114
11 1.4585764294
19 1.5605493134
28 1.5762925599
29 1.6960651289
39 2.0259319287
49 2.5987525988
51 2.9411764706
203 3.0562347188
1663 3.2467532468
1761 3.5410764873
5000 2.3992322457
evaluations raw_y
1 1.5923566879
14 1.6960651289
56 1.7146776406
59 1.7531556802
84 1.7934002869
91 1.9747235387
92 2.1663778163
173 2.2603978300
228 2.3629489603
229 2.3992322457
234 2.5562372188
261 2.6881720430
350 2.9976019185
3284 3.0562347188
3354 3.2467532468
3419 3.4626038781
5000 2.3629489603
evaluations raw_y
1 1.1478420569
3 1.2899896801
5 1.3340448239
9 1.8355359765
35 2.1079258010
79 2.7352297593
142 2.8868360277
5000 1.9500780031
evaluations raw_y
1 1.3340448239
5 1.3812154696
13 1.7531556802
21 1.8355359765
24 1.8796992481
51 2.1968365554
111 2.7352297593
211 3.7993920973
5000 2.3629489603
evaluations raw_y
1 1.2007684918
7 1.3935340022
8 1.6600265604
48 2.1367521368
52 2.3277467412
113 2.3629489603
153 2.5562372188
283 2.8868360277
319 3.2467532468
4186 3.8940809969
5000 2.5562372188
evaluations raw_y
1 1.3691128149
5 1.9025875190
45 2.0798668885
86 2.2281639929
128 2.3277467412
142 2.3629489603
143 2.5562372188
144 2.6427061311
171 2.7839643653
283 3.0562347188
5000 2.2281639929
evaluations raw_y
1 1.0271158587
2 1.2690355330
3 1.4318442153
5 2.1663778163
54 2.5987525988
134 3.1172069825
215 3.1806615776
288 3.2467532468
334 3.3875338753
5000 2.5562372188
evaluations raw_y
1 1.4723203769
15 1.8355359765
46 1.8573551263
53 1.8796992481
82 1.9500780031
88 2.1367521368
97 2.1968365554
124 2.3629489603
152 2.3992322457
169 2.5562372188
200 2.5987525988
219 2.6881720430
224 2.8344671202
237 2.9976019185
253 3.2467532468
288 3.3156498674
332 3.7993920973
368 3.8940809969
471 3.9936102236
5000 2.5562372188
evaluations raw_y
1 1.7337031900
6 2.0525451560
51 2.1367521368
170 2.2603978300
175 2.3992322457
187 2.5150905433
201 2.6881720430
202 3.1806615776
233 3.3875338753
4261 3.4626038781
4494 3.5410764873
4582 3.6231884058
4762 3.8940809969
5000 2.7839643653
