evaluations raw_y
1 -849.0000000000
2 -648.0000000000
5 -509.0000000000
11 -470.0000000000
34 -432.0000000000
49 -409.0000000000
50 -386.0000000000
51 -363.0000000000
81 -332.0000000000
94 -301.0000000000
108 -286.0000000000
111 -255.0000000000
129 -232.0000000000
137 -224.0000000000
143 -217.0000000000
151 -178.0000000000
169 -155.0000000000
192 -140.0000000000
206 -109.0000000000
229 -94.0000000000
248 -86.0000000000
272 -79.0000000000
289 -72.0000000000
295 -56.0000000000
308 -40.0000000000
323 -25.0000000000
347 -18.0000000000
349 -3.0000000000
417 -2.0000000000
477 5.0000000000
500 6.0000000000
677 7.0000000000
5000 -16.0000000000
evaluations raw_y
1 -733.0000000000
4 -555.0000000000
18 -540.0000000000
19 -516.0000000000
27 -463.0000000000
38 -431.0000000000
40 -416.0000000000
51 -385.0000000000
81 -354.0000000000
98 -324.0000000000
109 -301.0000000000
128 -239.0000000000
144 -215.0000000000
154 -208.0000000000
171 -193.0000000000
173 -192.0000000000
177 -162.0000000000
186 -108.0000000000
199 -101.0000000000
207 -92.0000000000
225 -86.0000000000
246 -85.0000000000
250 -78.0000000000
259 -71.0000000000
260 -56.0000000000
272 -26.0000000000
299 -11.0000000000
320 -4.0000000000
355 -3.0000000000
413 -2.0000000000
462 -1.0000000000
473 5.0000000000
495 6.0000000000
561 7.0000000000
5000 0.0000000000
evaluations raw_y
1 -726.0000000000
2 -417.0000000000
27 -416.0000000000
46 -401.0000000000
54 -385.0000000000
59 -331.0000000000
75 -308.0000000000
92 -270.0000000000
110 -247.0000000000
115 -239.0000000000
141 -216.0000000000
153 -193.0000000000
179 -177.0000000000
195 -170.0000000000
205 -163.0000000000
220 -148.0000000000
223 -132.0000000000
231 -109.0000000000
245 -78.0000000000
260 -71.0000000000
261 -48.0000000000
275 -47.0000000000
300 -33.0000000000
320 -32.0000000000
331 -25.0000000000
351 -10.0000000000
366 -4.0000000000
405 -3.0000000000
410 -2.0000000000
427 4.0000000000
441 5.0000000000
549 6.0000000000
800 7.0000000000
5000 -24.0000000000
evaluations raw_y
1 -772.0000000000
2 -555.0000000000
5 -455.0000000000
27 -393.0000000000
34 -332.0000000000
49 -301.0000000000
50 -278.0000000000
60 -255.0000000000
62 -239.0000000000
79 -224.0000000000
87 -223.0000000000
89 -178.0000000000
104 -147.0000000000
124 -124.0000000000
136 -116.0000000000
139 -101.0000000000
174 -86.0000000000
181 -79.0000000000
202 -71.0000000000
203 -48.0000000000
208 -42.0000000000
232 -33.0000000000
235 -27.0000000000
261 -20.0000000000
267 -19.0000000000
270 -12.0000000000
274 -9.0000000000
298 -5.0000000000
326 -1.0000000000
339 2.0000000000
350 3.0000000000
363 5.0000000000
385 6.0000000000
444 7.0000000000
5000 6.0000000000
evaluations raw_y
1 -563.0000000000
6 -517.0000000000
16 -470.0000000000
20 -463.0000000000
21 -440.0000000000
28 -378.0000000000
47 -377.0000000000
49 -346.0000000000
50 -331.0000000000
54 -324.0000000000
59 -301.0000000000
80 -278.0000000000
88 -225.0000000000
109 -194.0000000000
111 -171.0000000000
138 -163.0000000000
