evaluations raw_y
1 27.4114925453
2 23.3091342184
3 20.8599436865
6 15.5721819195
7 10.6134946006
12 8.5402077103
15 6.5359798690
42 5.9078761707
45 3.0093816955
1048 2.8895309686
1193 2.0690679061
3611 1.7067386707
3817 1.4748040418
3852 1.3842243515
4009 1.1827445210
4021 0.7574092812
4310 0.4942376288
4596 0.4544340927
4605 0.3896168220
4640 0.3149570596
4940 0.3023174880
5006 0.2805372272
5045 0.2599178023
5227 0.2516973041
5245 0.2158810235
5395 0.2133905688
5404 0.2022546338
5544 0.1813842237
5623 0.1736227897
5657 0.1603149756
5863 0.1457528047
5871 0.1348862739
6206 0.1181095010
6255 0.1084497455
6593 0.1064034287
6622 0.1063438101
6738 0.1013337770
6848 0.0977474280
6990 0.0940188254
7085 0.0932628613
7131 0.0909509382
7132 0.0902876129
7186 0.0881009910
7234 0.0866596036
7266 0.0863683305
7368 0.0862735077
7380 0.0852392149
7510 0.0832175338
7589 0.0828057329
7606 0.0822436291
7653 0.0821028703
7696 0.0816881864
7773 0.0813704914
7803 0.0812528142
7863 0.0803133300
7974 0.0798905044
8019 0.0794503297
8094 0.0791109864
8108 0.0787552637
8200 0.0785350394
8205 0.0781361692
8206 0.0777815752
8396 0.0765408039
8622 0.0754781565
8684 0.0749111026
9216 0.0748080542
9351 0.0747624239
9409 0.0747466251
9419 0.0745565686
9457 0.0745234143
9547 0.0743891299
9576 0.0743010771
9611 0.0742954947
9671 0.0741853358
9977 0.0741522226
9983 0.0740808109
10067 0.0740739777
10104 0.0739995673
10152 0.0739592834
10222 0.0739368459
10268 0.0739137470
10298 0.0738938754
10342 0.0737820326
10731 0.0737581768
10862 0.0737351589
10996 0.0736806413
11222 0.0736588309
11317 0.0736486854
11978 0.0736484738
11981 0.0736449729
11986 0.0736438999
12043 0.0736321859
12129 0.0736240618
12457 0.0736220581
12533 0.0736199621
12622 0.0736182577
12792 0.0736175020
12851 0.0736134997
13063 0.0736133672
13086 0.0736126549
13108 0.0736105912
13281 0.0736098890
13503 0.0736096432
13516 0.0736092495
13647 0.0736087182
13781 0.0736073361
13943 0.0736070814
13971 0.0736061142
14240 0.0736058262
14473 0.0736053218
14595 0.0736053045
14625 0.0736051824
14767 0.0736048678
14776 0.0736048591
14796 0.0736046658
14840 0.0736044109
15047 0.0736043933
15061 0.0736043552
15148 0.0736041464
15196 0.0736040993
15238 0.0736040446
15307 0.0736040426
15332 0.0736039829
15354 0.0736038284
15558 0.0736036840
15574 0.0736036565
15730 0.0736035498
15824 0.0736035489
15900 0.0736035429
15917 0.0736035090
15922 0.0736034295
15969 0.0736034041
16158 0.0736033890
16250 0.0736033457
16388 0.0736033125
16467 0.0736033095
16517 0.0736032976
16602 0.0736032820
16632 0.0736032804
16652 0.0736032624
16745 0.0736032620
16853 0.0736032426
16898 0.0736032400
16918 0.0736032394
16921 0.0736032260
16960 0.0736032130
16996 0.0736032091
17015 0.0736032088
17029 0.0736032072
17046 0.0736032046
17082 0.0736032043
17133 0.0736031899
17139 0.0736031843
17190 0.0736031743
17294 0.0736031684
17373 0.0736031679
17417 0.0736031565
17447 0.0736031486
17683 0.0736031452
17769 0.0736031435
17777 0.0736031432
17785 0.0736031402
17797 0.0736031396
17802 0.0736031373
17851 0.0736031330
17974 0.0736031317
17982 0.0736031307
18108 0.0736031236
18351 0.0736031198
18429 0.0736031191
18522 0.0736031188
18523 0.0736031171
18599 0.0736031167
18621 0.0736031157
18689 0.0736031150
18750 0.0736031145
18755 0.0736031130
18836 0.0736031121
18861 0.0736031114
18964 0.0736031111
18994 0.0736031099
19001 0.0736031097
19005 0.0736031084
19033 0.0736031079
19097 0.0736031074
19273 0.0736031067
19397 0.0736031065
19471 0.0736031060
19657 0.0736031058
19670 0.0736031056
19755 0.0736031054
19831 0.0736031052
20049 0.0736031050
20063 0.0736031048
20123 0.0736031047
20150 0.0736031043
20290 0.0736031036
20513 0.0736031033
20956 0.0736031032
21106 0.0736031030
21478 0.0736031029
22104 0.0736031027
22529 0.0736031026
22859 0.0736031024
23474 0.0736031022
24082 0.0736031021
24364 0.0736031020
25537 0.0736031018
26387 0.0736031017
26894 0.0736031016
27844 0.0736031015
29318 0.0736031013
29550 0.0736031012
30553 0.0736031011
30766 0.0736031010
31983 0.0736031009
33284 0.0736031007
33659 0.0736031006
34363 0.0736031005
35649 0.0736031004
37036 0.0736031003
37785 0.0736031001
