evaluations raw_y
1 11.3519995728
8 7.2355241776
28 3.4337525692
267 3.3675332640
273 1.5482417815
2829 1.4239185293
50000 7.9601139782
evaluations raw_y
1 22.0084664251
2 19.2508838499
3 11.7715938976
6 4.9757396137
11 4.1833357788
136 3.8738381540
359 3.4245096071
414 3.4026448368
527 2.9135345828
618 2.7071365564
1045 2.4700750689
4778 2.3943850934
5290 2.3210092364
5885 2.1601746197
7071 2.0321970649
12026 2.0293288574
50000 13.6083323731
evaluations raw_y
1 5.2505122177
2 2.7579008099
1311 1.7446210822
6170 1.4219484938
50000 14.0218929325
evaluations raw_y
1 9.7383199954
7 4.6021114695
46 4.0533451077
261 3.8598885686
503 3.1951451692
829 3.1430337876
4629 2.5102764976
5347 2.2907925785
6034 2.2218290046
50000 26.9908138248
evaluations raw_y
1 15.1508722451
3 9.0119998221
8 8.5929205526
20 4.9273872698
96 4.8120703065
100 3.7954669001
215 2.7604447522
257 2.3208711487
1359 2.0170874105
6162 1.8987434132
50000 14.4801598729
evaluations raw_y
1 15.7022005863
2 14.3686151126
3 11.8592691554
5 9.0649213266
16 8.7875880252
20 7.9947584300
24 7.0747488272
57 6.8103930966
61 4.7713065240
102 4.7648664991
276 4.5251068050
472 2.8259278528
1131 1.9521165184
50000 7.1073863931
evaluations raw_y
1 8.5016574630
3 3.2754151886
31 3.2482127124
359 2.6911317187
819 2.3611289293
2560 2.0711370112
5710 1.5240477477
50000 7.8934476660
evaluations raw_y
1 22.6283834577
2 11.5281852396
7 4.7431461732
22 4.4666025564
80 3.1799656162
244 2.6922858019
411 2.5715883131
1679 2.2863315855
2401 1.8461512992
50000 25.6127151031
evaluations raw_y
1 17.3999270911
3 15.1010518484
5 7.2736795801
33 6.7141353874
34 6.4124083346
36 4.6681112822
91 2.2876224123
369 1.5059573284
835 1.4895611246
50000 14.1596668270
evaluations raw_y
1 17.5510332165
3 14.5343375924
4 10.4665280476
8 6.8396553521
17 6.4438908258
31 5.4267207384
44 5.0550480555
56 2.6481943800
637 1.1725520658
50000 18.2435140571
evaluations raw_y
1 12.5387870350
7 8.6745880123
30 6.4888624225
128 4.8223772366
160 3.7833169675
407 3.0628934121
747 1.8685379258
5483 1.6690473717
50000 23.8646060261
evaluations raw_y
1 25.8336118512
2 18.5988562986
4 8.2933317787
6 7.4132308732
27 5.8604570557
47 4.5324754282
109 3.6616142173
504 3.1299886652
534 3.0421803463
564 2.7303291614
897 2.0633608845
3915 1.9156088837
5749 1.8738818200
50000 12.5900700775
evaluations raw_y
1 23.7653675949
2 15.4516975001
5 14.0635316455
6 4.7017970784
74 4.2002126080
204 1.5693766213
968 1.3818160215
50000 10.3365943111
evaluations raw_y
1 18.6409980695
2 10.6137547005
4 10.3789237747
5 9.3776349725
6 8.7653142368
11 7.6661558504
13 2.9662617643
2770 2.0630218853
3583 1.3468335971
50000 14.2960038087
evaluations raw_y
1 13.8553288843
2 12.2992314206
4 6.4890071005
41 5.4564423411
146 5.2391843749
156 4.1837653613
215 3.2062647497
709 2.8644406119
1533 2.6624350822
4324 2.3208214123
6907 2.2140049662
8876 2.0980841560
50000 17.9859142833
evaluations raw_y
1 28.6489657609
2 7.5300075359
24 7.4085204226
40 6.6219830197
56 6.2534896369
66 5.3572229067
68 3.8366480618
356 2.1138851898
4556 1.6259442215
50000 6.4163641981
evaluations raw_y
1 16.3752216523
3 8.8217103878
13 8.1406832632
18 7.3051577626
31 4.8013280699
81 2.9699579457
562 2.5203921990
2338 2.2402316582
50000 10.7621312695
evaluations raw_y
1 14.1775731514
3 12.3203484246
7 4.4194760698
29 3.1449232218
472 2.9834457266
902 2.4288746979
4994 2.0152384623
50000 22.7143184404
evaluations raw_y
1 10.1851739604
9 6.5900743360
38 4.9728479398
59 3.8925692988
335 2.5450475323
50000 29.4050945598
evaluations raw_y
1 18.1736598061
5 12.2945469062
9 7.9751560653
10 7.7968525224
20 7.3988668683
24 5.2629635957
42 5.0880818668
158 3.1674751363
205 3.0861003327
515 2.8375793390
2317 2.4844612926
7070 1.8014705457
50000 15.2435028876
