evaluations raw_y
1 13.8077939229
2 10.4997100538
5 7.9865166260
23 6.2459916752
26 6.2319027511
28 4.8860374695
152 3.9532483461
172 3.4977272496
300 3.1335731394
636 3.0384415548
747 2.3276589810
964 2.0138548172
3109 1.6802282722
4993 1.6056768187
5556 1.4491608110
5585 1.0688513512
5776 0.8514514841
6059 0.7318288654
6083 0.2028154039
7224 0.1521417143
7919 0.1403120177
7924 0.1325827111
7947 0.1293477744
7973 0.1084133836
8316 0.1018976845
8507 0.0774360746
8932 0.0765529550
9078 0.0750619756
9123 0.0666968755
9146 0.0557711402
9527 0.0524244344
9760 0.0501948133
9990 0.0490770659
10008 0.0462662113
10051 0.0438493049
10283 0.0432456920
10376 0.0407537065
10499 0.0388954207
10503 0.0377999410
10637 0.0367920854
10814 0.0337107763
10977 0.0335005534
11181 0.0302615282
11791 0.0293223237
12164 0.0292229625
12247 0.0290523868
12274 0.0286430883
12377 0.0278959589
12488 0.0272119075
12823 0.0271375938
12902 0.0269946537
13000 0.0268772339
13192 0.0268231082
13413 0.0268043671
13482 0.0267729463
13508 0.0264726249
13608 0.0264335737
13889 0.0263475697
14091 0.0262517852
14124 0.0262181542
14181 0.0260756498
14362 0.0259408141
14605 0.0259032065
14882 0.0258911672
14909 0.0257784654
15054 0.0257763884
15211 0.0257444940
15409 0.0257384919
15423 0.0256595571
15679 0.0256474387
15782 0.0256065882
16044 0.0255965673
16110 0.0255721035
16387 0.0255390455
16589 0.0255249202
16872 0.0255160420
17043 0.0255095340
17127 0.0255072805
17161 0.0255044432
17234 0.0254902273
17400 0.0254872263
17500 0.0254824830
17598 0.0254782929
17869 0.0254753833
17964 0.0254743327
18060 0.0254566818
19066 0.0254536469
19668 0.0254530638
19689 0.0254526165
19707 0.0254515059
19712 0.0254502986
19888 0.0254497012
20086 0.0254495227
20121 0.0254487600
20132 0.0254470138
20244 0.0254469359
20487 0.0254466783
20715 0.0254466639
20829 0.0254461183
20906 0.0254458196
21099 0.0254456959
21107 0.0254448574
21284 0.0254443914
21711 0.0254442723
22024 0.0254440712
22326 0.0254440576
22336 0.0254439804
22380 0.0254439303
22416 0.0254437274
22618 0.0254435452
23135 0.0254434339
23258 0.0254434006
23577 0.0254432944
23873 0.0254432922
23975 0.0254432611
24018 0.0254432333
24219 0.0254432100
24285 0.0254432052
24385 0.0254432023
24615 0.0254431991
24673 0.0254431795
24703 0.0254431653
24829 0.0254431512
24862 0.0254431498
24894 0.0254431457
24913 0.0254431328
25029 0.0254431234
25109 0.0254431210
25181 0.0254431184
25198 0.0254431122
25205 0.0254430985
25261 0.0254430676
25973 0.0254430638
26007 0.0254430556
26090 0.0254430526
26114 0.0254430489
26345 0.0254430444
26538 0.0254430408
26678 0.0254430368
26836 0.0254430343
27230 0.0254430300
27513 0.0254430274
27707 0.0254430260
27753 0.0254430252
27775 0.0254430250
27810 0.0254430235
27874 0.0254430213
27891 0.0254430204
27989 0.0254430181
28120 0.0254430163
28566 0.0254430152
28698 0.0254430141
28990 0.0254430136
29067 0.0254430132
29328 0.0254430130
29444 0.0254430128
29449 0.0254430124
29718 0.0254430120
29997 0.0254430111
30497 0.0254430108
31766 0.0254430107
32109 0.0254430106
32347 0.0254430104
50000 0.0254430107
evaluations raw_y
1 16.4813393507
2 14.8909236318
3 10.0398057020
9 9.4747240458
12 8.8461808675
16 8.2968401443
20 8.0507702908
50 5.7566278453
103 4.6283293336
118 2.0736440961
5236 1.7494662461
5261 1.4333898610
5402 1.1086866108
5714 1.0397051460
5717 0.9436359040
5867 0.9034282470
5899 0.7392340437
5978 0.7113639558
6039 0.5205592833
6297 0.3781951130
6608 0.3635352275
6698 0.3187175530
6783 0.2176424308
6994 0.1362350607
7439 0.1306009536
7581 0.1237579612
7881 0.1012207544
7926 0.0875894789
8073 0.0843221651
8157 0.0824083299
8304 0.0738271380
8392 0.0675864387
8448 0.0639987783
8577 0.0627874135
8805 0.0579908322
8817 0.0543311546
8976 0.0517743686
9115 0.0513236659
9132 0.0413121426
9407 0.0342820166
9792 0.0317708950
10351 0.0286167088
10442 0.0264772179
10566 0.0259037575
10967 0.0242822442
11218 0.0224281732
11537 0.0224030297
11566 0.0222135942
11698 0.0213116068
12094 0.0209572199
12110 0.0208190446
12166 0.0196293692
12476 0.0191658523
12576 0.0191064713
12683 0.0187463820
13105 0.0186142596
13127 0.0185905236
13162 0.0185630620
13213 0.0184970960
13256 0.0184666243
13262 0.0184656144
13272 0.0183751962
13402 0.0183162284
13429 0.0182912605
13440 0.0180564717
13741 0.0180239243
14119 0.0179259352
14163 0.0179180473
14382 0.0177584253
14468 0.0177526074
14478 0.0177337897
14508 0.0176696529
14592 0.0176654109
14622 0.0175813717
14768 0.0175436987
14883 0.0174196146
15229 0.0174186146
15247 0.0173929919
15496 0.0173736906
15511 0.0173498061
15712 0.0173375495
15717 0.0172984655
15839 0.0172954745
15981 0.0172497633
16084 0.0172371757
16214 0.0172327095
16220 0.0172145723
16388 0.0171932613
16557 0.0171928074
16808 0.0171886568
16868 0.0171819401
16889 0.0171782535
16899 0.0171736010
16934 0.0171732363
16950 0.0171704798
16962 0.0171556603
17025 0.0171553952
17131 0.0171481177
17231 0.0171164206
17696 0.0171136001
17701 0.0171095608
17852 0.0171080333
18320 0.0171076575
18352 0.0171044713
18461 0.0170999163
18651 0.0170983932
18670 0.0170969993
18717 0.0170870520
19439 0.0170867279
19526 0.0170843726
19783 0.0170836924
19947 0.0170828889
20004 0.0170821153
20161 0.0170811850
20260 0.0170809671
20361 0.0170807966
20555 0.0170799988
20842 0.0170784900
21057 0.0170781909
21299 0.0170780323
21387 0.0170776884
21516 0.0170775140
21828 0.0170774523
22028 0.0170773824
22114 0.0170772386
22196 0.0170770139
22387 0.0170768208
22818 0.0170768173
23010 0.0170767583
23110 0.0170765510
23292 0.0170765137
23432 0.0170764590
23485 0.0170764562
23573 0.0170764336
23641 0.0170764305
23734 0.0170764015
23787 0.0170763689
24052 0.0170762967
24120 0.0170762896
24260 0.0170762412
24771 0.0170762375
24791 0.0170762284
24798 0.0170761943
24903 0.0170761885
25043 0.0170761760
25233 0.0170761734
25279 0.0170761628
25287 0.0170761592
25413 0.0170761556
25560 0.0170761487
25891 0.0170761417
25898 0.0170761334
25999 0.0170761301
26362 0.0170761299
26435 0.0170761213
26890 0.0170761192
27072 0.0170761189
27129 0.0170761185
27151 0.0170761174
27194 0.0170761122
27546 0.0170761121
27712 0.0170761106
27922 0.0170761090
28060 0.0170761085
